"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[137, 257, 35209, 34816, 65537, 3857, 2049]",35209,34816,65537,2310,6.56,
"[17, 257, 4369, 4096, 17, 1, 241]",4369,4096,17,286,6.55,
"[3, 31, 93, 60, 3, 1, 100]",93,60,3,6,6.52,
"[3, 31, 93, 60, 5, 1, 96]",93,60,5,6,6.52,
"[3, 31, 93, 60, 17, 15, 53]",93,60,17,6,6.52,
"[3, 31, 93, 60, 257, 227, 53]",93,60,257,6,6.52,
"[3, 31, 93, 60, 65537, 57891, 53]",93,60,65537,6,6.52,
"[13, 97, 1261, 1152, 17, 13, 881]",1261,1152,17,82,6.51,
"[11, 17, 187, 160, 5, 1, 192]",187,160,5,12,6.45,
"[17, 137, 2329, 2176, 17, 1, 2432]",2329,2176,17,150,6.44,
"[17, 137, 2329, 2176, 257, 242, 2049]",2329,2176,257,150,6.44,
"[17, 137, 2329, 2176, 65537, 61712, 2049]",2329,2176,65537,150,6.44,
"[5, 257, 1285, 1024, 17, 4, 241]",1285,1024,17,82,6.39,
"[5, 19, 95, 72, 3, 1, 96]",95,72,3,6,6.38,
"[47, 257, 12079, 11776, 257, 95, 4353]",12079,11776,257,768,6.36,
"[47, 257, 12079, 11776, 65537, 2855, 513]",12079,11776,65537,768,6.36,
"[3, 257, 771, 512, 17, 8, 241]",771,512,17,48,6.23,
"[5, 137, 685, 544, 17, 1, 704]",685,544,17,42,6.14,
"[5, 137, 685, 544, 257, 197, 417]",685,544,257,42,6.14,
"[5, 137, 685, 544, 65537, 50237, 417]",685,544,65537,42,6.14,
"[7, 449, 3143, 2688, 257, 98, 1025]",3143,2688,257,192,6.11,
"[7, 449, 3143, 2688, 65537, 6266, 257]",3143,2688,65537,192,6.11,
"[7, 113, 791, 672, 17, 15, 593]",791,672,17,48,6.08,
"[7, 113, 791, 672, 257, 135, 353]",791,672,257,48,6.08,
"[7, 113, 791, 672, 65537, 25064, 257]",791,672,65537,48,6.08,
"[5, 73, 365, 288, 5, 3, 173]",365,288,5,22,6.04,
"[17, 47, 799, 736, 17, 10, 433]",799,736,17,48,6.02,
"[17, 47, 799, 736, 257, 235, 673]",799,736,257,48,6.02,
"[17, 47, 799, 736, 65537, 45680, 513]",799,736,65537,48,6.02,
"[7, 29, 203, 168, 5, 3, 101]",203,168,5,12,5.94,
"[7, 29, 203, 168, 17, 9, 89]",203,168,17,12,5.94,
"[7, 29, 203, 168, 257, 26, 17]",203,168,257,12,5.94,
"[7, 29, 203, 168, 65537, 34719, 89]",203,168,65537,12,5.94,
"[3, 137, 411, 272, 17, 1, 416]",411,272,17,24,5.85,
"[3, 137, 411, 272, 257, 137, 145]",411,272,257,24,5.85,
