"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[181, 461, 83441, 82800, 65537, 42641, 53873]",83441,82800,65537,22,0.03,
"[191, 193, 36863, 36480, 5, 1, 43776]",36863,36480,5,12,0.03,
"[191, 197, 37627, 37240, 5, 1, 44688]",37627,37240,5,12,0.03,
"[191, 197, 37627, 37240, 17, 5, 10953]",37627,37240,17,12,0.03,
"[191, 197, 37627, 37240, 257, 72, 10433]",37627,37240,257,12,0.03,
"[191, 197, 37627, 37240, 65537, 61653, 35033]",37627,37240,65537,12,0.03,
"[191, 229, 43739, 43320, 5, 1, 51984]",43739,43320,5,12,0.03,
"[191, 229, 43739, 43320, 17, 4, 10193]",43739,43320,17,12,0.03,
"[191, 229, 43739, 43320, 257, 116, 19553]",43739,43320,257,12,0.03,
"[191, 229, 43739, 43320, 65537, 42652, 28193]",43739,43320,65537,12,0.03,
"[191, 233, 44503, 44080, 5, 1, 52896]",44503,44080,5,12,0.03,
"[191, 241, 46031, 45600, 5, 1, 54720]",46031,45600,5,12,0.03,
"[191, 409, 78119, 77520, 17, 1, 82080]",78119,77520,17,24,0.03,
"[191, 409, 78119, 77520, 257, 216, 65153]",78119,77520,257,24,0.03,
"[191, 409, 78119, 77520, 65537, 58531, 69233]",78119,77520,65537,24,0.03,
"[191, 457, 87287, 86640, 17, 2, 10193]",87287,86640,17,24,0.03,
"[191, 457, 87287, 86640, 257, 58, 19553]",87287,86640,257,24,0.03,
"[191, 457, 87287, 86640, 65537, 21326, 28193]",87287,86640,65537,24,0.03,
"[193, 199, 38407, 38016, 5, 4, 30413]",38407,38016,5,12,0.03,
"[193, 211, 40723, 40320, 5, 1, 48384]",40723,40320,5,12,0.03,
"[193, 223, 43039, 42624, 5, 1, 8525]",43039,42624,5,12,0.03,
"[193, 227, 43811, 43392, 5, 2, 17357]",43811,43392,5,12,0.03,
"[193, 239, 46127, 45696, 5, 4, 36557]",46127,45696,5,12,0.03,
"[193, 337, 65041, 64512, 5, 2, 25805]",65041,64512,5,22,0.03,
"[193, 349, 67357, 66816, 5, 4, 53453]",67357,66816,5,22,0.03,
"[193, 353, 68129, 67584, 5, 1, 13517]",68129,67584,5,22,0.03,
"[193, 373, 71989, 71424, 5, 1, 14285]",71989,71424,5,22,0.03,
"[193, 389, 75077, 74496, 5, 4, 59597]",75077,74496,5,22,0.03,
"[193, 397, 76621, 76032, 5, 2, 30413]",76621,76032,5,22,0.03,
"[193, 401, 77393, 76800, 5, 1, 92160]",77393,76800,5,22,0.03,
"[193, 409, 78937, 78336, 5, 4, 62669]",78937,78336,5,22,0.03,
"[193, 421, 81253, 80640, 5, 1, 96768]",81253,80640,5,22,0.03,
"[193, 433, 83569, 82944, 5, 1, 16589]",83569,82944,5,22,0.03,
"[193, 449, 86657, 86016, 5, 4, 68813]",86657,86016,5,22,0.03,
"[197, 199, 39203, 38808, 5, 3, 23285]",39203,38808,5,12,0.03,
"[197, 199, 39203, 38808, 17, 6, 13697]",39203,38808,17,12,0.03,
"[197, 199, 39203, 38808, 257, 256, 38657]",39203,38808,257,12,0.03,
"[197, 199, 39203, 38808, 65537, 57176, 33857]",39203,38808,65537,12,0.03,
"[197, 211, 41567, 41160, 5, 1, 49392]",41567,41160,5,12,0.03,
"[197, 211, 41567, 41160, 17, 11, 26633]",41567,41160,17,12,0.03,
"[197, 211, 41567, 41160, 257, 212, 33953]",41567,41160,257,12,0.03,
"[197, 211, 41567, 41160, 65537, 27694, 17393]",41567,41160,65537,12,0.03,
"[197, 223, 43931, 43512, 5, 2, 17405]",43931,43512,5,12,0.03,
"[197, 223, 43931, 43512, 17, 15, 38393]",43931,43512,17,12,0.03,
"[197, 223, 43931, 43512, 257, 13, 2201]",43931,43512,257,12,0.03,
"[197, 223, 43931, 43512, 65537, 45681, 30329]",43931,43512,65537,12,0.03,
"[197, 227, 44719, 44296, 5, 4, 35437]",44719,44296,5,12,0.03,
"[197, 227, 44719, 44296, 17, 3, 7817]",44719,44296,17,12,0.03,
"[197, 227, 44719, 44296, 257, 81, 13961]",44719,44296,257,12,0.03,
"[197, 227, 44719, 44296, 65537, 11814, 7985]",44719,44296,65537,12,0.03,
"[197, 239, 47083, 46648, 5, 3, 27989]",47083,46648,5,12,0.03,
"[197, 239, 47083, 46648, 17, 1, 49392]",47083,46648,17,12,0.03,
"[197, 239, 47083, 46648, 257, 51, 9257]",47083,46648,257,12,0.03,
"[197, 239, 47083, 46648, 65537, 28291, 20137]",47083,46648,65537,12,0.03,
"[197, 337, 66389, 65856, 5, 4, 52685]",66389,65856,5,22,0.03,
"[197, 349, 68753, 68208, 5, 3, 40925]",68753,68208,5,22,0.03,
"[197, 349, 68753, 68208, 17, 4, 16049]",68753,68208,17,22,0.03,
"[197, 349, 68753, 68208, 257, 252, 66881]",68753,68208,257,22,0.03,
"[197, 349, 68753, 68208, 65537, 14452, 15041]",68753,68208,65537,22,0.03,
"[197, 353, 69541, 68992, 5, 2, 27597]",69541,68992,5,22,0.03,
"[197, 373, 73481, 72912, 5, 2, 29165]",73481,72912,5,22,0.03,
"[197, 373, 73481, 72912, 17, 1, 4289]",73481,72912,17,22,0.03,
"[197, 373, 73481, 72912, 257, 186, 52769]",73481,72912,257,22,0.03,
"[197, 373, 73481, 72912, 65537, 21976, 24449]",73481,72912,65537,22,0.03,
"[197, 389, 76633, 76048, 5, 3, 45629]",76633,76048,5,22,0.03,
"[197, 389, 76633, 76048, 17, 12, 53681]",76633,76048,17,22,0.03,
"[197, 389, 76633, 76048, 257, 75, 22193]",76633,76048,257,22,0.03,
"[197, 389, 76633, 76048, 65537, 31880, 36993]",76633,76048,65537,22,0.03,
"[197, 397, 78209, 77616, 5, 4, 62093]",78209,77616,5,22,0.03,
"[197, 397, 78209, 77616, 17, 3, 13697]",78209,77616,17,22,0.03,
"[197, 397, 78209, 77616, 257, 128, 38657]",78209,77616,257,22,0.03,
"[197, 397, 78209, 77616, 65537, 28588, 33857]",78209,77616,65537,22,0.03,
"[197, 401, 78997, 78400, 5, 1, 94080]",78997,78400,5,22,0.03,
"[197, 409, 80573, 79968, 5, 3, 47981]",80573,79968,5,22,0.03,
"[197, 421, 82937, 82320, 5, 1, 98784]",82937,82320,5,22,0.03,
"[197, 421, 82937, 82320, 17, 14, 67793]",82937,82320,17,22,0.03,
"[197, 421, 82937, 82320, 257, 106, 33953]",82937,82320,257,22,0.03,
"[197, 421, 82937, 82320, 65537, 13847, 17393]",82937,82320,65537,22,0.03,
"[197, 433, 85301, 84672, 5, 2, 33869]",85301,84672,5,22,0.03,
"[199, 229, 45571, 45144, 5, 1, 9029]",45571,45144,5,12,0.03,
"[199, 229, 45571, 45144, 17, 15, 39833]",45571,45144,17,12,0.03,
"[199, 229, 45571, 45144, 257, 184, 32321]",45571,45144,257,12,0.03,
"[199, 229, 45571, 45144, 65537, 20407, 14057]",45571,45144,65537,12,0.03,
"[199, 233, 46367, 45936, 5, 4, 36749]",46367,45936,5,12,0.03,
"[199, 241, 47959, 47520, 5, 1, 57024]",47959,47520,5,12,0.03,
"[199, 409, 81391, 80784, 17, 1, 85536]",81391,80784,17,24,0.03,
"[199, 409, 81391, 80784, 257, 254, 79841]",81391,80784,257,24,0.03,
"[199, 409, 81391, 80784, 65537, 63448, 78209]",81391,80784,65537,24,0.03,
"[199, 457, 90943, 90288, 17, 16, 84977]",90943,90288,17,24,0.03,
"[199, 457, 90943, 90288, 257, 92, 32321]",90943,90288,257,24,0.03,
"[199, 457, 90943, 90288, 65537, 42972, 59201]",90943,90288,65537,24,0.03,
"[211, 409, 86299, 85680, 17, 1, 90720]",86299,85680,17,24,0.03,
"[211, 409, 86299, 85680, 257, 122, 40673]",86299,85680,257,24,0.03,
"[211, 409, 86299, 85680, 65537, 46715, 61073]",86299,85680,65537,24,0.03,
"[223, 313, 69799, 69264, 17, 14, 57041]",69799,69264,17,24,0.03,
"[223, 313, 69799, 69264, 257, 51, 13745]",69799,69264,257,24,0.03,
"[223, 313, 69799, 69264, 65537, 36259, 38321]",69799,69264,65537,24,0.03,
"[223, 409, 91207, 90576, 17, 1, 95904]",91207,90576,17,24,0.03,
"[223, 409, 91207, 90576, 257, 39, 13745]",91207,90576,257,24,0.03,
"[223, 409, 91207, 90576, 65537, 12307, 17009]",91207,90576,65537,24,0.03,
"[227, 313, 71051, 70512, 17, 13, 53921]",71051,70512,17,24,0.03,
"[227, 313, 71051, 70512, 257, 41, 11249]",71051,70512,257,24,0.03,
"[227, 313, 71051, 70512, 65537, 62876, 67649]",71051,70512,65537,24,0.03,
"[227, 409, 92843, 92208, 17, 1, 97632]",92843,92208,17,24,0.03,
"[227, 409, 92843, 92208, 257, 243, 87185]",92843,92208,257,24,0.03,
"[227, 409, 92843, 92208, 65537, 59647, 83921]",92843,92208,65537,24,0.03,
"[229, 277, 63433, 62928, 5, 3, 37757]",63433,62928,5,22,0.03,
"[229, 277, 63433, 62928, 17, 3, 11105]",63433,62928,17,22,0.03,
"[229, 277, 63433, 62928, 257, 132, 32321]",63433,62928,257,22,0.03,
"[229, 277, 63433, 62928, 65537, 38860, 37313]",63433,62928,65537,22,0.03,
"[229, 281, 64349, 63840, 5, 1, 76608]",64349,63840,5,22,0.03,
"[229, 293, 67097, 66576, 5, 4, 53261]",67097,66576,5,22,0.03,
"[229, 293, 67097, 66576, 17, 4, 15665]",67097,66576,17,22,0.03,
"[229, 293, 67097, 66576, 257, 79, 20465]",67097,66576,257,22,0.03,
"[229, 293, 67097, 66576, 65537, 820, 833]",67097,66576,65537,22,0.03,
"[229, 313, 71677, 71136, 5, 4, 56909]",71677,71136,5,22,0.03,
"[229, 317, 72593, 72048, 5, 3, 43229]",72593,72048,5,22,0.03,
"[229, 317, 72593, 72048, 17, 8, 33905]",72593,72048,17,22,0.03,
"[229, 317, 72593, 72048, 257, 73, 20465]",72593,72048,257,22,0.03,
"[229, 317, 72593, 72048, 65537, 43896, 48257]",72593,72048,65537,22,0.03,
"[229, 337, 77173, 76608, 5, 3, 45965]",77173,76608,5,22,0.03,
"[229, 349, 79921, 79344, 5, 1, 15869]",79921,79344,5,22,0.03,
"[229, 349, 79921, 79344, 17, 10, 46673]",79921,79344,17,22,0.03,
"[229, 349, 79921, 79344, 257, 149, 46001]",79921,79344,257,22,0.03,
"[229, 349, 79921, 79344, 65537, 30820, 37313]",79921,79344,65537,22,0.03,
"[229, 353, 80837, 80256, 5, 4, 64205]",80837,80256,5,22,0.03,
"[229, 373, 85417, 84816, 5, 4, 67853]",85417,84816,5,22,0.03,
"[229, 373, 85417, 84816, 17, 11, 54881]",85417,84816,17,22,0.03,
"[229, 373, 85417, 84816, 257, 214, 70625]",85417,84816,257,22,0.03,
"[229, 373, 85417, 84816, 65537, 37288, 48257]",85417,84816,65537,22,0.03,
"[233, 277, 64541, 64032, 5, 2, 25613]",64541,64032,5,22,0.03,
"[233, 281, 65473, 64960, 5, 1, 77952]",65473,64960,5,22,0.03,
"[233, 293, 68269, 67744, 5, 1, 13549]",68269,67744,5,22,0.03,
"[233, 307, 71531, 70992, 17, 1, 75168]",71531,70992,17,24,0.03,
"[233, 307, 71531, 70992, 257, 227, 62705]",71531,70992,257,24,0.03,
"[233, 307, 71531, 70992, 65537, 38301, 41489]",71531,70992,65537,24,0.03,
"[233, 311, 72463, 71920, 17, 5, 21153]",72463,71920,17,24,0.03,
"[233, 311, 72463, 71920, 257, 45, 12593]",72463,71920,257,24,0.03,
"[233, 311, 72463, 71920, 65537, 46686, 51233]",72463,71920,65537,24,0.03,
"[233, 313, 72929, 72384, 5, 1, 14477]",72929,72384,5,22,0.03,
"[233, 317, 73861, 73312, 5, 2, 29325]",73861,73312,5,22,0.03,
"[233, 331, 77123, 76560, 17, 15, 67553]",77123,76560,17,24,0.03,
"[233, 331, 77123, 76560, 257, 89, 26513]",77123,76560,257,24,0.03,
"[233, 331, 77123, 76560, 65537, 14067, 16433]",77123,76560,65537,24,0.03,
"[233, 337, 78521, 77952, 5, 2, 31181]",78521,77952,5,22,0.03,
"[233, 347, 80851, 80272, 17, 9, 42497]",80851,80272,17,24,0.03,
"[233, 347, 80851, 80272, 257, 73, 22801]",80851,80272,257,24,0.03,
"[233, 347, 80851, 80272, 65537, 60391, 73969]",80851,80272,65537,24,0.03,
"[233, 349, 81317, 80736, 5, 4, 64589]",81317,80736,5,22,0.03,
"[233, 353, 82249, 81664, 5, 1, 16333]",82249,81664,5,22,0.03,
"[233, 359, 83647, 83056, 17, 3, 14657]",83647,83056,17,24,0.03,
"[233, 359, 83647, 83056, 257, 217, 70129]",83647,83056,257,24,0.03,
"[233, 359, 83647, 83056, 65537, 22120, 28033]",83647,83056,65537,24,0.03,
"[233, 367, 85511, 84912, 17, 6, 29969]",85511,84912,17,24,0.03,
"[233, 367, 85511, 84912, 257, 194, 64097]",85511,84912,257,24,0.03,
"[233, 367, 85511, 84912, 65537, 20204, 26177]",85511,84912,65537,24,0.03,
"[233, 373, 86909, 86304, 5, 1, 17261]",86909,86304,5,22,0.03,
"[233, 379, 88307, 87696, 17, 5, 25793]",88307,87696,17,24,0.03,
"[233, 379, 88307, 87696, 257, 196, 66881]",88307,87696,257,24,0.03,
"[233, 379, 88307, 87696, 65537, 40368, 54017]",88307,87696,65537,24,0.03,
"[233, 383, 89239, 88624, 17, 11, 57345]",89239,88624,17,24,0.03,
"[233, 383, 89239, 88624, 257, 163, 56209]",89239,88624,257,24,0.03,
"[233, 383, 89239, 88624, 65537, 14554, 19681]",89239,88624,65537,24,0.03,
"[233, 541, 126053, 125280, 17, 12, 88433]",126053,125280,17,42,0.03,
"[233, 541, 126053, 125280, 257, 240, 116993]",126053,125280,257,42,0.03,
"[233, 541, 126053, 125280, 65537, 41365, 79073]",126053,125280,65537,42,0.03,
"[239, 313, 74807, 74256, 17, 1, 78624]",74807,74256,17,24,0.03,
"[239, 313, 74807, 74256, 257, 121, 34961]",74807,74256,257,24,0.03,
"[239, 313, 74807, 74256, 65537, 38778, 43937]",74807,74256,65537,24,0.03,
"[241, 269, 64829, 64320, 5, 1, 77184]",64829,64320,5,22,0.03,
"[241, 277, 66757, 66240, 5, 1, 79488]",66757,66240,5,22,0.03,
"[241, 281, 67721, 67200, 5, 1, 80640]",67721,67200,5,22,0.03,
"[241, 293, 70613, 70080, 5, 1, 84096]",70613,70080,5,22,0.03,
"[241, 313, 75433, 74880, 5, 1, 89856]",75433,74880,5,22,0.03,
"[241, 317, 76397, 75840, 5, 1, 91008]",76397,75840,5,22,0.03,
"[241, 337, 81217, 80640, 5, 1, 96768]",81217,80640,5,22,0.03,
"[241, 349, 84109, 83520, 5, 1, 100224]",84109,83520,5,22,0.03,
"[241, 353, 85073, 84480, 5, 1, 101376]",85073,84480,5,22,0.03,
"[251, 281, 70531, 70000, 17, 3, 12353]",70531,70000,17,24,0.03,
"[251, 281, 70531, 70000, 257, 174, 47393]",70531,70000,257,24,0.03,
"[251, 281, 70531, 70000, 65537, 12614, 13473]",70531,70000,65537,24,0.03,
"[251, 313, 78563, 78000, 17, 4, 18353]",78563,78000,17,24,0.03,
"[251, 313, 78563, 78000, 257, 255, 77393]",78563,78000,257,24,0.03,
"[251, 313, 78563, 78000, 65537, 18042, 21473]",78563,78000,65537,24,0.03,
"[257, 269, 69133, 68608, 5, 3, 41165]",69133,68608,5,22,0.03,
"[257, 277, 71189, 70656, 5, 4, 56525]",71189,70656,5,22,0.03,
"[257, 281, 72217, 71680, 5, 1, 86016]",72217,71680,5,22,0.03,
"[257, 293, 75301, 74752, 5, 2, 29901]",75301,74752,5,22,0.03,
"[257, 313, 80441, 79872, 5, 2, 31949]",80441,79872,5,22,0.03,
"[257, 317, 81469, 80896, 5, 4, 64717]",81469,80896,5,22,0.03,
"[257, 337, 86609, 86016, 5, 4, 68813]",86609,86016,5,22,0.03,
"[263, 281, 73903, 73360, 17, 10, 43153]",73903,73360,17,24,0.03,
"[263, 281, 73903, 73360, 257, 219, 62513]",73903,73360,257,24,0.03,
"[263, 281, 73903, 73360, 65537, 8034, 8993]",73903,73360,65537,24,0.03,
"[263, 313, 82319, 81744, 17, 2, 9617]",82319,81744,17,24,0.03,
"[263, 313, 82319, 81744, 257, 157, 49937]",82319,81744,257,24,0.03,
"[263, 313, 82319, 81744, 65537, 7210, 8993]",82319,81744,65537,24,0.03,
"[269, 277, 74513, 73968, 5, 3, 44381]",74513,73968,5,22,0.03,
"[269, 277, 74513, 73968, 17, 16, 69617]",74513,73968,17,22,0.03,
"[269, 277, 74513, 73968, 257, 166, 47777]",74513,73968,257,22,0.03,
"[269, 277, 74513, 73968, 65537, 33060, 37313]",74513,73968,65537,22,0.03,
"[269, 281, 75589, 75040, 5, 1, 90048]",75589,75040,5,22,0.03,
"[269, 293, 78817, 78256, 5, 4, 62605]",78817,78256,5,22,0.03,
"[269, 293, 78817, 78256, 17, 10, 46033]",78817,78256,17,22,0.03,
"[269, 293, 78817, 78256, 257, 2, 609]",78817,78256,257,22,0.03,
"[269, 293, 78817, 78256, 65537, 44715, 53393]",78817,78256,65537,22,0.03,
"[269, 313, 84197, 83616, 5, 4, 66893]",84197,83616,5,22,0.03,
"[269, 317, 85273, 84688, 5, 3, 50813]",85273,84688,5,22,0.03,
"[269, 317, 85273, 84688, 17, 3, 14945]",85273,84688,17,22,0.03,
"[269, 317, 85273, 84688, 257, 158, 52065]",85273,84688,257,22,0.03,
"[269, 317, 85273, 84688, 65537, 47126, 60897]",85273,84688,65537,22,0.03,
"[269, 457, 122933, 122208, 17, 7, 50321]",122933,122208,17,42,0.03,
"[269, 457, 122933, 122208, 257, 114, 54209]",122933,122208,257,42,0.03,
"[269, 457, 122933, 122208, 65537, 20010, 37313]",122933,122208,65537,42,0.03,
"[269, 521, 140149, 139360, 17, 3, 24593]",140149,139360,17,42,0.03,
"[269, 521, 140149, 139360, 257, 183, 99233]",140149,139360,257,42,0.03,
"[269, 521, 140149, 139360, 65537, 62919, 133793]",140149,139360,65537,42,0.03,
"[271, 281, 76151, 75600, 17, 16, 71153]",76151,75600,17,24,0.03,
"[271, 281, 76151, 75600, 257, 104, 30593]",76151,75600,257,24,0.03,
"[271, 281, 76151, 75600, 65537, 31098, 35873]",76151,75600,65537,24,0.03,
"[271, 313, 84823, 84240, 17, 10, 49553]",84823,84240,17,24,0.03,
"[271, 313, 84823, 84240, 257, 179, 58673]",84823,84240,257,24,0.03,
"[271, 313, 84823, 84240, 65537, 53115, 68273]",84823,84240,65537,24,0.03,
"[277, 281, 77837, 77280, 5, 1, 92736]",77837,77280,5,22,0.03,
"[277, 293, 81161, 80592, 5, 2, 32237]",81161,80592,5,22,0.03,
"[277, 293, 81161, 80592, 17, 7, 33185]",81161,80592,17,22,0.03,
"[277, 293, 81161, 80592, 257, 177, 55505]",81161,80592,257,22,0.03,
"[277, 293, 81161, 80592, 65537, 17774, 21857]",81161,80592,65537,22,0.03,
"[277, 313, 86701, 86112, 5, 2, 34445]",86701,86112,5,22,0.03,
"[277, 317, 87809, 87216, 5, 4, 69773]",87809,87216,5,22,0.03,
"[277, 317, 87809, 87216, 17, 14, 71825]",87809,87216,17,22,0.03,
"[277, 317, 87809, 87216, 257, 105, 35633]",87809,87216,257,22,0.03,
"[277, 317, 87809, 87216, 65537, 10617, 14129]",87809,87216,65537,22,0.03,
"[277, 457, 126589, 125856, 17, 10, 74033]",126589,125856,17,42,0.03,
"[277, 457, 126589, 125856, 257, 66, 32321]",126589,125856,257,42,0.03,
"[277, 457, 126589, 125856, 65537, 19430, 37313]",126589,125856,65537,42,0.03,
"[277, 521, 144317, 143520, 17, 14, 118193]",144317,143520,17,42,0.03,
"[277, 521, 144317, 143520, 257, 133, 74273]",144317,143520,257,42,0.03,
"[277, 521, 144317, 143520, 65537, 6956, 15233]",144317,143520,65537,42,0.03,
"[281, 283, 79523, 78960, 17, 7, 32513]",79523,78960,17,24,0.03,
"[281, 283, 79523, 78960, 257, 198, 60833]",79523,78960,257,24,0.03,
"[281, 283, 79523, 78960, 65537, 3281, 3953]",79523,78960,65537,24,0.03,
"[281, 293, 82333, 81760, 5, 1, 98112]",82333,81760,5,22,0.03,
"[281, 307, 86267, 85680, 17, 1, 90720]",86267,85680,17,24,0.03,
"[281, 307, 86267, 85680, 257, 122, 40673]",86267,85680,257,24,0.03,
"[281, 307, 86267, 85680, 65537, 46715, 61073]",86267,85680,65537,24,0.03,
"[281, 311, 87391, 86800, 17, 9, 45953]",87391,86800,17,24,0.03,
"[281, 311, 87391, 86800, 257, 74, 24993]",87391,86800,257,24,0.03,
"[281, 311, 87391, 86800, 65537, 63025, 83473]",87391,86800,65537,24,0.03,
"[281, 313, 87953, 87360, 5, 1, 104832]",87953,87360,5,22,0.03,
"[281, 331, 93011, 92400, 17, 10, 54353]",93011,92400,17,24,0.03,
"[281, 331, 93011, 92400, 257, 15, 5393]",93011,92400,257,24,0.03,
"[281, 331, 93011, 92400, 65537, 13528, 19073]",93011,92400,65537,24,0.03,
"[281, 461, 129541, 128800, 17, 2, 15153]",129541,128800,17,42,0.03,
"[281, 461, 129541, 128800, 257, 251, 125793]",129541,128800,257,42,0.03,
"[281, 461, 129541, 128800, 65537, 4006, 7873]",129541,128800,65537,42,0.03,
"[281, 509, 143029, 142240, 17, 16, 133873]",143029,142240,17,42,0.03,
"[281, 509, 143029, 142240, 257, 203, 112353]",143029,142240,257,42,0.03,
"[281, 509, 143029, 142240, 65537, 36654, 79553]",143029,142240,65537,42,0.03,
"[281, 541, 152021, 151200, 17, 8, 71153]",152021,151200,17,42,0.03,
"[281, 541, 152021, 151200, 257, 52, 30593]",152021,151200,257,42,0.03,
"[281, 541, 152021, 151200, 65537, 15549, 35873]",152021,151200,65537,42,0.03,
"[283, 313, 88579, 87984, 17, 15, 77633]",88579,87984,17,24,0.03,
"[283, 313, 88579, 87984, 257, 237, 81137]",88579,87984,257,24,0.03,
"[283, 313, 88579, 87984, 65537, 55038, 73889]",88579,87984,65537,24,0.03,
"[293, 457, 133901, 133152, 17, 2, 15665]",133901,133152,17,42,0.03,
"[293, 457, 133901, 133152, 257, 168, 87041]",133901,133152,257,42,0.03,
"[293, 457, 133901, 133152, 65537, 410, 833]",133901,133152,65537,42,0.03,
"[293, 521, 152653, 151840, 17, 13, 116113]",152653,151840,17,42,0.03,
"[293, 521, 152653, 151840, 257, 175, 103393]",152653,151840,257,42,0.03,
"[293, 521, 152653, 151840, 65537, 40690, 94273]",152653,151840,65537,42,0.03,
"[307, 449, 137843, 137088, 17, 1, 145152]",137843,137088,17,48,0.03,
"[311, 449, 139639, 138880, 17, 12, 98033]",139639,138880,17,48,0.03,
"[313, 389, 121757, 121056, 17, 1, 7121]",121757,121056,17,42,0.03,
"[313, 389, 121757, 121056, 257, 57, 26849]",121757,121056,257,42,0.03,
"[313, 389, 121757, 121056, 65537, 11625, 21473]",121757,121056,65537,42,0.03,
"[313, 397, 124261, 123552, 17, 13, 94481]",124261,123552,17,42,0.03,
"[313, 397, 124261, 123552, 257, 87, 41825]",124261,123552,257,42,0.03,
"[313, 397, 124261, 123552, 65537, 21320, 40193]",124261,123552,65537,42,0.03,
"[313, 421, 131773, 131040, 17, 4, 30833]",131773,131040,17,42,0.03,
"[313, 421, 131773, 131040, 257, 60, 30593]",131773,131040,257,42,0.03,
"[313, 421, 131773, 131040, 65537, 48189, 96353]",131773,131040,65537,42,0.03,
"[313, 461, 144293, 143520, 17, 14, 118193]",144293,143520,17,42,0.03,
"[313, 461, 144293, 143520, 257, 133, 74273]",144293,143520,257,42,0.03,
"[313, 461, 144293, 143520, 65537, 6956, 15233]",144293,143520,65537,42,0.03,
"[313, 509, 159317, 158496, 17, 10, 93233]",159317,158496,17,42,0.03,
"[313, 509, 159317, 158496, 257, 169, 104225]",159317,158496,257,42,0.03,
"[313, 509, 159317, 158496, 65537, 22812, 55169]",159317,158496,65537,42,0.03,
"[317, 409, 129653, 128928, 17, 1, 136512]",129653,128928,17,42,0.03,
"[317, 409, 129653, 128928, 257, 3, 1505]",129653,128928,257,42,0.03,
"[317, 409, 129653, 128928, 65537, 20675, 40673]",129653,128928,65537,42,0.03,
"[317, 457, 144869, 144096, 17, 4, 33905]",144869,144096,17,42,0.03,
"[317, 457, 144869, 144096, 257, 165, 92513]",144869,144096,257,42,0.03,
"[317, 457, 144869, 144096, 65537, 21948, 48257]",144869,144096,65537,42,0.03,
"[317, 521, 165157, 164320, 17, 9, 86993]",165157,164320,17,42,0.03,
"[317, 521, 165157, 164320, 257, 204, 130433]",165157,164320,257,42,0.03,
"[317, 521, 165157, 164320, 65537, 1098, 2753]",165157,164320,65537,42,0.03,
"[331, 433, 143323, 142560, 17, 9, 75473]",143323,142560,17,48,0.03,
"[331, 433, 143323, 142560, 257, 24, 13313]",143323,142560,257,48,0.03,
"[331, 433, 143323, 142560, 65537, 40323, 87713]",143323,142560,65537,48,0.03,
"[331, 449, 148619, 147840, 17, 2, 17393]",148619,147840,17,48,0.03,
"[337, 419, 141203, 140448, 17, 3, 24785]",141203,140448,17,48,0.03,
"[337, 419, 141203, 140448, 257, 206, 112577]",141203,140448,257,48,0.03,
"[337, 419, 141203, 140448, 65537, 8900, 19073]",141203,140448,65537,48,0.03,
"[337, 431, 145247, 144480, 17, 6, 50993]",145247,144480,17,48,0.03,
"[337, 431, 145247, 144480, 257, 162, 91073]",145247,144480,257,48,0.03,
"[337, 431, 145247, 144480, 65537, 52851, 116513]",145247,144480,65537,48,0.03,
"[337, 439, 147943, 147168, 17, 1, 8657]",147943,147168,17,48,0.03,
"[337, 439, 147943, 147168, 257, 152, 87041]",147943,147168,257,48,0.03,
"[337, 439, 147943, 147168, 65537, 15975, 35873]",147943,147168,65537,48,0.03,
"[337, 443, 149291, 148512, 17, 1, 157248]",149291,148512,17,48,0.03,
"[337, 443, 149291, 148512, 257, 189, 109217]",149291,148512,257,48,0.03,
"[337, 443, 149291, 148512, 65537, 19389, 43937]",149291,148512,65537,48,0.03,
"[337, 463, 156031, 155232, 17, 10, 91313]",156031,155232,17,48,0.03,
"[337, 463, 156031, 155232, 257, 64, 38657]",156031,155232,257,48,0.03,
"[337, 463, 156031, 155232, 65537, 14294, 33857]",156031,155232,65537,48,0.03,
"[337, 467, 157379, 156576, 17, 14, 128945]",157379,156576,17,48,0.03,
"[337, 467, 157379, 156576, 257, 155, 94433]",157379,156576,257,48,0.03,
"[337, 467, 157379, 156576, 65537, 61988, 148097]",157379,156576,65537,48,0.03,
"[337, 479, 161423, 160608, 17, 15, 141713]",161423,160608,17,48,0.03,
"[337, 479, 161423, 160608, 257, 121, 75617]",161423,160608,257,48,0.03,
"[337, 479, 161423, 160608, 65537, 47818, 117185]",161423,160608,65537,48,0.03,
"[337, 487, 164119, 163296, 17, 3, 28817]",164119,163296,17,48,0.03,
"[337, 487, 164119, 163296, 257, 229, 145505]",164119,163296,257,48,0.03,
"[337, 487, 164119, 163296, 65537, 28961, 72161]",164119,163296,65537,48,0.03,
"[337, 491, 165467, 164640, 17, 7, 67793]",165467,164640,17,48,0.03,
